Member_ID,Name,Member_Type,Join_Date,Fine_Outstanding
M-00001,Angela Henry,Regular,2012-01-05,91.11
M-00002,Angela Espinoza,Regular,2014-06-16,
M-00003,Richard Stuart,Regular,2011-12-24,56.83
M-00004,Vincent Ross,Regular,2019-08-04,6.81
M-00005,Sheryl Parks,Regular,2020-10-22,62.72
M-00006,David Cole,Regular,2017-08-18,49.55
M-00007,Michael Evans,Regular,2014-04-26,60.79
M-00008,Maria Webb,Regular,2015-02-28,18.1
M-00009,Deanna Freeman,Premium,2017-03-05,1.03
M-00010,Andrew King,Premium,2013-07-12,4.09
M-00011,Timothy Graham,Premium,2013-12-06,
M-00012,Christina Phillips,Regular,2015-02-28,34.07
M-00013,Edgar Gonzalez,Regular,2016-02-13,78.73
M-00014,Caitlin Miller,Regular,2014-08-13,38.48
M-00015,Deanna Sanchez,Regular,2017-04-11,42.48
M-00016,Heather Delacruz,Premium,2011-11-30,67.54
M-00017,Tammy Walton,Regular,2015-07-04,58.24
M-00018,Melvin Schmidt,Premium,2021-08-19,
M-00019,Michelle Santiago,Regular,2021-08-17,83.73
M-00020,Jerry Pierce,Regular,2012-10-12,70.44
M-00021,Samantha Barton,Regular,2015-08-20,
M-00022,Megan Taylor MD,Regular,2021-06-11,7.49
M-00023,Melissa Sanford,Regular,2011-12-14,
M-00024,Sandra Reyes,Premium,2015-12-26,
M-00025,Deanna Phelps,Regular,2013-08-06,10.76
M-00026,Cory Huynh,Regular,2014-09-06,4.76
M-00027,Jennifer Harris,Regular,2021-12-01,
M-00028,Lauren Greene,Premium,2021-10-01,5.33
M-00029,Robert Ramirez,Regular,2013-03-27,76.64
M-00030,Albert Wilson,Premium,2020-10-23,57.39
M-00031,Christina Vega,Regular,2020-03-31,4.61
M-00032,Steven Gonzalez,Premium,2022-01-23,88.35
M-00033,Robert Garcia,Regular,2013-05-26,33.45
M-00034,Lauren Moore,Regular,2012-06-07,62.58
M-00035,Katrina Hodges,Regular,2022-05-14,93.89
M-00036,Debra Rogers,Regular,2017-10-19,
M-00037,Christine Harrington,Regular,2021-07-12,30.72
M-00038,Nicholas Hayes,Regular,2020-07-24,85.23
M-00039,Anne Martin,Regular,2022-03-11,85.59
M-00040,Elizabeth Edwards,Premium,2012-05-11,92.94
M-00041,Maria Pugh,Premium,2015-10-09,79.51
M-00042,Jeffrey Nguyen,Premium,2019-06-01,
M-00043,Kathy Lopez,Regular,2017-09-04,58.63
M-00044,Jack Bowers,Premium,2016-02-21,3.44
M-00045,Laura Hogan,Regular,2016-02-22,4.09
M-00046,Jeffrey Perry,Regular,2022-01-11,52.02
M-00047,James Miller,Regular,2018-12-21,8.75
M-00048,Joshua Ruiz,Regular,2015-11-09,9.5
M-00049,William Chavez,Regular,2013-08-25,51.16
M-00050,William Lawson,Regular,2016-08-05,
M-00051,Tristan Washington,Regular,2016-05-23,91.13
M-00052,Yvonne Adkins,Premium,2012-05-17,38.79
M-00053,Joseph Mcdowell,Regular,2017-10-31,
M-00054,Lauren Mcguire,Regular,2019-12-07,52.18
M-00055,Anna Cummings,Regular,2014-07-27,43.43
M-00056,Kevin Shepherd,Regular,2016-06-19,64.3
M-00057,Ann Johnson,Regular,2020-06-07,90.55
M-00058,Danielle Hamilton,Regular,2017-05-07,12.94
M-00059,Michael Mcdonald,Regular,2013-03-06,56.3
M-00060,John Smith,Regular,2017-10-04,6.87
