Staff_ID,Name,Role,Hire_Date,Weekly_Hours
S-0001,Brenda Hughes,Librarian,2022-03-23,39
S-0002,Nicole Swanson,Librarian,2018-05-09,35
S-0003,Sheila Jennings,Librarian,2020-09-13,35
S-0004,Amanda May,Librarian,2020-07-23,35
S-0005,Christopher Allen,Librarian,2014-03-09,24
S-0006,Vincent Riley,Librarian,2015-01-04,26
S-0007,Lisa Miller,Assistant,2018-09-26,29
S-0008,Steven Escobar,Librarian,2020-09-12,32
S-0009,Alan Patel,Assistant,2012-09-07,27
S-0010,Jeffrey Gordon,Assistant,2020-06-25,24
S-0011,Donald Davis,Assistant,2019-07-23,33
S-0012,Daniel Mitchell,Librarian,2021-08-08,22
S-0013,Cameron Johnson,Assistant,2016-01-09,22
S-0014,Rebecca Lewis,Assistant,2020-03-06,22
S-0015,Anthony Rodriguez,Librarian,2020-04-06,34
S-0016,Carmen Carter,Assistant,2015-12-08,29
S-0017,Robert Beasley,Librarian,2017-11-28,33
S-0018,Samuel Stephens,Assistant,2018-01-25,34
S-0019,Shawn Deleon,Librarian,2021-06-23,30
S-0020,Jeffrey Alexander,Assistant,2018-09-13,39
S-0021,James Leon,Assistant,2018-01-04,28
S-0022,Lynn Mcdowell DDS,Assistant,2018-01-18,23
S-0023,Brandon Gaines,Librarian,2013-10-08,23
S-0024,Anthony Hughes,Assistant,2015-12-24,37
S-0025,Bryan Ramirez,Librarian,2017-02-10,33
S-0026,Penny Smith,Assistant,2016-02-27,25
S-0027,Christopher Finley,Librarian,2016-10-07,26
S-0028,Cody Jackson,Assistant,2022-03-25,21
S-0029,Breanna Ayala,Assistant,2012-12-15,20
S-0030,Rebecca Jones,Assistant,2013-02-09,36
S-0031,James Hicks,Librarian,2020-12-25,36
S-0032,Brandi Frazier,Librarian,2017-12-15,36
S-0033,Amanda Clark,Librarian,2018-02-13,29
S-0034,Laura Mitchell,Assistant,2020-12-25,30
S-0035,Anna Villa,Librarian,2015-06-22,36
S-0036,Gary Munoz,Assistant,2013-05-14,32
S-0037,Jacqueline Singleton,Librarian,2018-10-02,35
S-0038,Michael Long,Librarian,2020-05-17,23
S-0039,Mr. George Caldwell,Librarian,2011-10-16,24
S-0040,Michelle Williams,Librarian,2019-09-14,25
S-0041,Kimberly Murray,Assistant,2014-10-07,28
S-0042,James Brown,Librarian,2017-11-18,22
S-0043,Joseph Hutchinson,Assistant,2013-10-23,28
S-0044,Kathryn Brown,Librarian,2011-10-29,28
S-0045,Anita Adkins,Assistant,2021-02-13,23
S-0046,Ariel Bolton DDS,Assistant,2019-07-26,34
S-0047,Herbert Henderson,Assistant,2021-04-12,21
S-0048,Madison Jenkins,Assistant,2014-08-03,26
S-0049,Lisa Jackson,Assistant,2018-09-03,21
S-0050,Charles Walker,Librarian,2014-01-12,28
